N,Accuracy,Precision,Recall,F1-score,Custom Metric
1,0.7381329113924051,0.7248943192939343,0.7381329113924051,0.7253676081295594,1.0756809046234965
2,0.7507911392405063,0.7352031890109584,0.7507911392405063,0.7375303144223778,0.9562437328094511
3,0.7555379746835443,0.7403231313721842,0.7555379746835443,0.7426890053402677,0.9288557720314784
4,0.7587025316455697,0.7429637266988636,0.7587025316455697,0.7465873785785593,0.9253506529288932
5,0.759493670886076,0.7432356373094312,0.759493670886076,0.7470305291509305,0.9266762152201385
6,0.7666139240506329,0.7509121000468256,0.7666139240506329,0.7546024341331252,0.9166355675454239
7,0.7674050632911392,0.7515220943237788,0.7674050632911392,0.7563265378557439,0.9079933742934003
8,0.7705696202531646,0.7546376360377876,0.7705696202531646,0.7592806028563719,0.9126143946575298
9,0.7784810126582279,0.7621499799891801,0.7784810126582279,0.7672714690575873,0.8952323861918726
10,0.7808544303797469,0.7687120252958358,0.7808544303797469,0.7710446742977143,0.8841483599508622
11,0.7800632911392406,0.7676215972104823,0.7800632911392406,0.7701640570603361,0.8913469513381982
12,0.7824367088607594,0.7737354383776025,0.7824367088607594,0.7721435944419707,0.8745262525801031
13,0.7816455696202531,0.7707007160648698,0.7816455696202531,0.7719052554241024,0.8847235767003759
14,0.7824367088607594,0.7736836447012622,0.7824367088607594,0.7727088860410634,0.8676027466479644
15,0.7784810126582279,0.7693706182152925,0.7784810126582279,0.768599263071732,0.8933377855311753
16,0.7840189873417721,0.7759189357008799,0.7840189873417721,0.7743815007377992,0.8722420371740812
17,0.7832278481012658,0.7758324064439373,0.7832278481012658,0.7739761831152803,0.8746025933581836
18,0.7887658227848101,0.7785790209381178,0.7887658227848101,0.7793522856625679,0.8688654013997557
19,0.7903481012658228,0.7822202382592184,0.7903481012658228,0.781391581271325,0.8605459727240714
20,0.7903481012658228,0.7828710716312185,0.7903481012658228,0.7817319225402017,0.8637888679088758
21,0.7919303797468354,0.7847781338064049,0.7919303797468354,0.783567313335912,0.8551417386300482
22,0.7958860759493671,0.788337699990256,0.7958860759493671,0.7874485896891024,0.8543634609269585
23,0.7974683544303798,0.7894351658020576,0.7974683544303798,0.7889588978261377,0.8495382872611413
24,0.8006329113924051,0.7928301320937999,0.8006329113924051,0.7927249917901789,0.8460460296959728
25,0.7998417721518988,0.7922112571951058,0.7998417721518988,0.7915006314244931,0.8468371689364791
26,0.7998417721518988,0.7923698042269096,0.7998417721518988,0.7915009365622078,0.8363956823643386
27,0.7990506329113924,0.7916370109157469,0.7990506329113924,0.7907366380701791,0.8371868216048449
28,0.7990506329113924,0.7934593124786017,0.7990506329113924,0.7909940738008658,0.8474945675874642
29,0.7982594936708861,0.7925287659324107,0.7982594936708861,0.790708906523161,0.8479580062248272
30,0.8006329113924051,0.7942550486124725,0.8006329113924051,0.7925463120391439,0.82814125777625
31,0.8006329113924051,0.7942698714980924,0.8006329113924051,0.792491694213566,0.8320969539787817
32,0.7990506329113924,0.7906801056368742,0.7990506329113924,0.790584475243662,0.8409433005324929
33,0.8014240506329114,0.7939622952602247,0.8014240506329114,0.7938324267396943,0.8377916051078842
34,0.805379746835443,0.7988143483509702,0.805379746835443,0.7976108373574438,0.8230025314483932
35,0.805379746835443,0.7987497725487096,0.805379746835443,0.7977023604322537,0.8250807621118371
36,0.805379746835443,0.7978940680473346,0.805379746835443,0.7978952394766015,0.8291019349997312
37,0.8037974683544303,0.7978363611464675,0.8037974683544303,0.7968527058414244,0.8415762771528308
38,0.8061708860759493,0.8014371738706659,0.8061708860759493,0.7993431463851199,0.8311605136555236
39,0.8085443037974683,0.8023198074375398,0.8085443037974683,0.8014200743226843,0.8295653736370943
40,0.807753164556962,0.8017450382285068,0.807753164556962,0.8007828653665072,0.8296437118598734
41,0.810126582278481,0.8048056782310589,0.810126582278481,0.8035515121830298,0.8196656639250959
42,0.8117088607594937,0.8061672479804936,0.8117088607594937,0.8042859752704185,0.8060198667804009
43,0.8093354430379747,0.8026633809056448,0.8093354430379747,0.8018671401694845,0.8116233181493077
44,0.810126582278481,0.8033571052026671,0.810126582278481,0.8025403587419194,0.8153167904340585
45,0.8093354430379747,0.8028064976010786,0.8093354430379747,0.8019545253267981,0.8161079296745648
46,0.8117088607594937,0.8054910395902601,0.8117088607594937,0.8047668628084182,0.8093856384620085
47,0.8109177215189873,0.8057956387833289,0.8109177215189873,0.8037978923804167,0.8072615831208536
48,0.810126582278481,0.8051339010143702,0.810126582278481,0.8029597767842643,0.8157018908486424
49,0.8093354430379747,0.8035152329746702,0.8093354430379747,0.8020304490031046,0.8161079296745648
50,0.810126582278481,0.8042529534542908,0.810126582278481,0.8024839669688468,0.8083804229645033
51,0.8132911392405063,0.8073512123950228,0.8132911392405063,0.8053521643543096,0.799070637773429
52,0.814873417721519,0.8093449362086897,0.814873417721519,0.8075893240801589,0.7957141182424802
53,0.8132911392405063,0.8076924274267028,0.8132911392405063,0.8059462110420168,0.806269229160765
54,0.8132911392405063,0.8074589402194715,0.8132911392405063,0.8059560062210169,0.8070475068638547
55,0.8117088607594937,0.8067275989530664,0.8117088607594937,0.8043960136644808,0.807248721583437
56,0.8132911392405063,0.8080168376173291,0.8132911392405063,0.8059461716567233,0.8030918106613231
57,0.8132911392405063,0.808356764405711,0.8132911392405063,0.8058828710890483,0.7998489154765187
58,0.8140822784810127,0.8096584480455337,0.8140822784810127,0.8067328928604721,0.803013472438544
59,0.814873417721519,0.8105937870815744,0.814873417721519,0.8070198196729306,0.7949582651253392
60,0.8140822784810127,0.8100592537324731,0.8140822784810127,0.8068863381271978,0.7982666369955063
61,0.8140822784810127,0.8095229237048198,0.8140822784810127,0.8069235620560323,0.8022223331980377
62,0.8132911392405063,0.808611325070456,0.8132911392405063,0.8059885570733663,0.8070475068638547
63,0.8164556962025317,0.8121704306555143,0.8164556962025317,0.8091917695792713,0.7966188818291309
64,0.814873417721519,0.8104726009299386,0.814873417721519,0.8074610605424262,0.7941799874222494
65,0.8164556962025317,0.811308771286563,0.8164556962025317,0.808576113567554,0.7929254095443801
66,0.8188291139240507,0.8135131564322637,0.8188291139240507,0.8112152949983067,0.7894331519792115
67,0.8164556962025317,0.8117340187449379,0.8164556962025317,0.8088270484873775,0.7958277425886245
68,0.8204113924050633,0.8160158743500272,0.8204113924050633,0.8133282424462552,0.7926631856265992
69,0.819620253164557,0.815537572343308,0.819620253164557,0.8126092617626672,0.7966843585144934
70,0.817246835443038,0.8125701095181144,0.817246835443038,0.8101359654256682,0.7950366033481182
71,0.8212025316455697,0.8170680378084856,0.8212025316455697,0.81435474858752,0.7878380119607822
72,0.8212025316455697,0.8170909441844226,0.8212025316455697,0.8142946599452981,0.7951020800334807
73,0.8204113924050633,0.8160862508639993,0.8204113924050633,0.8135230994222136,0.7966843585144934
74,0.8204113924050633,0.8162761946113544,0.8204113924050633,0.8132276008543862,0.7966843585144934
75,0.819620253164557,0.8150357272077289,0.819620253164557,0.8128655535157893,0.7942326025701952
76,0.8204113924050633,0.8154626201787663,0.8204113924050633,0.8132415778816087,0.7934414633296889
77,0.8204113924050633,0.8155509811848488,0.8204113924050633,0.813499807020049,0.7934414633296889
78,0.819620253164557,0.8145772615325615,0.819620253164557,0.8124445347611648,0.7942326025701952
79,0.819620253164557,0.8158833968740778,0.819620253164557,0.8126003384195838,0.7951521260355184
80,0.8204113924050633,0.8165675189888477,0.8204113924050633,0.8133868913845019,0.7911180916102076
81,0.8204113924050633,0.816663604732594,0.8204113924050633,0.8136492657639093,0.7911180916102076
82,0.819620253164557,0.8157085153613078,0.819620253164557,0.8127611678820537,0.7983950212203228
83,0.819620253164557,0.8157799969981688,0.819620253164557,0.8128992025644585,0.7943738483324287
84,0.8204113924050633,0.8162378853579553,0.8204113924050633,0.8139241841739869,0.7903398139071179
85,0.8164556962025317,0.812166248134773,0.8164556962025317,0.8097742543236649,0.8007813004792584
86,0.8180379746835443,0.8125409056415053,0.8180379746835443,0.8109297633123098,0.7991990219982458
87,0.8180379746835443,0.8127670711739291,0.8180379746835443,0.8111689189041356,0.7959561268134414
88,0.8164556962025317,0.8114896050121457,0.8164556962025317,0.8097521829812483,0.8007813004792584
89,0.8188291139240507,0.8137099147790472,0.8188291139240507,0.8121365073435779,0.7951649875729351
90,0.819620253164557,0.8150230851128993,0.819620253164557,0.8131719715392554,0.7974299808768059
91,0.8188291139240507,0.8143562411430579,0.8188291139240507,0.8124299406041523,0.7974299808768059
92,0.8188291139240507,0.8144276795807849,0.8188291139240507,0.8124272587624525,0.7974299808768059
93,0.8212025316455697,0.8177424837259747,0.8212025316455697,0.8150073789023969,0.7918136679704826
94,0.8204113924050633,0.8160147752375161,0.8204113924050633,0.8140325908231785,0.7926048072109889
95,0.8204113924050633,0.8166914183601436,0.8204113924050633,0.8140546621655951,0.7926048072109889
