Accuracy,Precision,Recall,F1-score,Custom Metric
0.03560126582278481,0.8707924497495168,0.03560126582278481,0.00968330772177333,20.336693228003703
0.03560126582278481,0.8395263390732137,0.03560126582278481,0.010999099324810614,19.6343952228316
0.038765822784810125,0.7983889051190941,0.038765822784810125,0.012759306311285992,19.491554688228696
0.04588607594936709,0.7840488189763735,0.04588607594936709,0.02185514607911259,19.32152162341951
0.051424050632911396,0.7587407615455101,0.051424050632911396,0.026838073271456715,18.841992915476272
0.051424050632911396,0.7078299924701966,0.051424050632911396,0.02683175698316921,18.982952387582255
0.05617088607594937,0.6457861277380404,0.05617088607594937,0.0334491972284827,18.99474998114011
0.05617088607594937,0.6123641090679915,0.05617088607594937,0.036144297291017174,19.02984212921723
0.055379746835443035,0.5685436338459563,0.055379746835443035,0.037646413650140625,18.899738642965282
0.056962025316455694,0.5469139713113547,0.056962025316455694,0.04088070226380424,18.74430661759861
0.06329113924050633,0.5103775996978445,0.06329113924050633,0.048004859788180705,18.684296673421883
