N,Accuracy,Precision,Recall,F1-score,Custom Metric
1,0.7262658227848101,0.7168788173401659,0.7262658227848101,0.7167167008752683,1.1914328718422358
2,0.747626582278481,0.7304638359273177,0.747626582278481,0.7333365713905382,1.2022675512862016
3,0.747626582278481,0.736758962278701,0.747626582278481,0.7333378396674296,1.2029131221878278
4,0.7721518987341772,0.7654670380283783,0.7721518987341772,0.75850168136326,1.0455497387926551
5,0.7753164556962026,0.7632006536596,0.7753164556962026,0.7598448434466617,0.7811538423199998
6,0.7761075949367089,0.7686749076837749,0.7761075949367089,0.7611894715394236,0.9008872284576539
7,0.7761075949367089,0.7674290794506701,0.7761075949367089,0.7619226068619191,0.8925989048173675
8,0.7666139240506329,0.7585416935785384,0.7666139240506329,0.7521228766442167,1.0247757067502032
9,0.7784810126582279,0.7756361008866948,0.7784810126582279,0.7624866890137036,0.8998537136090876
10,0.7705696202531646,0.7536460507384322,0.7705696202531646,0.754775792261106,1.017371139882837
11,0.7753164556962026,0.7661699528369122,0.7753164556962026,0.759360244146982,0.79189139753707
12,0.7840189873417721,0.7704550159669421,0.7840189873417721,0.76786818565111,0.8811090646213267
13,0.7784810126582279,0.763384582780307,0.7784810126582279,0.7623223407273073,1.0010922117064263
14,0.7792721518987342,0.762116376165424,0.7792721518987342,0.7630908643035317,0.768260940803188
15,0.7761075949367089,0.7675355727518415,0.7761075949367089,0.7598526833760334,0.9870263644431918
16,0.7753164556962026,0.7669306268947406,0.7753164556962026,0.7593803497460603,0.9022290142735709
17,0.7784810126582279,0.7671904497842914,0.7784810126582279,0.7613405911801969,1.017008605832388
18,0.7856012658227848,0.7728489742959048,0.7856012658227848,0.7683249481926651,0.9912507494953671
19,0.7768987341772152,0.7673786641713475,0.7768987341772152,0.7595271976154807,1.0011206285521472
20,0.7848101265822784,0.7766581740337569,0.7848101265822784,0.7693054552102464,0.8828494440858274
21,0.7784810126582279,0.7650354220008568,0.7784810126582279,0.7620981524639909,0.8969234520956685
22,0.7776898734177216,0.7620018031478347,0.7776898734177216,0.7617101481703537,1.0141564269948393
23,0.7761075949367089,0.7596353752506013,0.7761075949367089,0.76042095766123,1.013384727245903
24,0.7863924050632911,0.7782327416089841,0.7863924050632911,0.7696476814435044,0.8800137991188259
25,0.7761075949367089,0.7693945163176484,0.7761075949367089,0.7604407152675903,0.9943166345412716
26,0.7832278481012658,0.7738107099464833,0.7832278481012658,0.7663315834969074,0.9997039187605725
27,0.7848101265822784,0.771761111169746,0.7848101265822784,0.7695959644767415,0.9953442746247255
28,0.7840189873417721,0.773741979758762,0.7840189873417721,0.7673391334710146,0.9906792831457474
29,0.7887658227848101,0.7791901576760613,0.7887658227848101,0.7743355956197256,0.8778617090747339
30,0.7800632911392406,0.7711981961924466,0.7800632911392406,0.7644983730801155,0.9024025084736214
31,0.7729430379746836,0.7748089783272721,0.7729430379746836,0.7564814524318192,1.0125265207782954
32,0.7824367088607594,0.7704647589392862,0.7824367088607594,0.7652038620041066,0.9887018401290991
33,0.7800632911392406,0.765665084713005,0.7800632911392406,0.7643872854338873,0.9949105475988117
34,0.7808544303797469,0.7649904028238658,0.7808544303797469,0.7647674919175839,0.9916062640659506
35,0.7792721518987342,0.7652948111645297,0.7792721518987342,0.7633338286876016,0.9052007802202535
36,0.7784810126582279,0.7698340141752373,0.7784810126582279,0.7619001199559113,0.9051392920715071
37,0.7816455696202531,0.776223456044781,0.7816455696202531,0.7654626272384909,0.8787617135194266
38,0.7816455696202531,0.770520472890284,0.7816455696202531,0.7663031389715534,0.8809250242774836
39,0.7863924050632911,0.7773653389813799,0.7863924050632911,0.7695587800797362,0.9824719705196253
40,0.7792721518987342,0.7726106115282597,0.7792721518987342,0.762622597980889,0.993835866879328
41,0.7784810126582279,0.7661915286737179,0.7784810126582279,0.7632492637351884,0.8935075353085805
42,0.7745253164556962,0.760271507953929,0.7745253164556962,0.7575997766753185,1.002085034206155
43,0.7840189873417721,0.7745610989647687,0.7840189873417721,0.7678344139393012,0.9974650637965364
44,0.7848101265822784,0.7790236937353137,0.7848101265822784,0.7696768981656096,0.986166961298527
45,0.7832278481012658,0.7757551033831096,0.7832278481012658,0.7676835654003118,0.9925371298772928
46,0.7761075949367089,0.7604345688526798,0.7761075949367089,0.7609617708960645,1.007811362071865
47,0.7832278481012658,0.7730632231860851,0.7832278481012658,0.7672375776150543,0.8766079788863631
48,0.7792721518987342,0.7731258291298173,0.7792721518987342,0.7636541650878651,0.8735588923518715
49,0.7816455696202531,0.7682263241975413,0.7816455696202531,0.7654129806951459,0.8865603037463072
50,0.7816455696202531,0.7757668660243037,0.7816455696202531,0.7652452696284409,1.010527811976409
51,0.7792721518987342,0.7726478354627828,0.7792721518987342,0.7634950049937818,0.9888938026980225
52,0.7816455696202531,0.7719408456439536,0.7816455696202531,0.765894099517483,0.8756513900001874
53,0.7824367088607594,0.7673468558849462,0.7824367088607594,0.7663354985547507,0.8843544265630644
54,0.7824367088607594,0.7666435413179027,0.7824367088607594,0.7666670544979995,0.8718848690734596
55,0.7848101265822784,0.7710388811189568,0.7848101265822784,0.7681951794031122,0.9792764331471816
56,0.7824367088607594,0.766384742086404,0.7824367088607594,0.7666323622074546,0.992222290811566
57,0.7808544303797469,0.7721433851702894,0.7808544303797469,0.7646976656930956,0.9947768070092908
58,0.7840189873417721,0.7760126521597185,0.7840189873417721,0.767019728989524,0.9888922842038717
59,0.7816455696202531,0.7754097809313466,0.7816455696202531,0.7648543385349837,0.8877912494419503
60,0.7879746835443038,0.7788701044014185,0.7879746835443038,0.7721396539890707,0.8674604446527627
61,0.7816455696202531,0.773876583920744,0.7816455696202531,0.7650081331708669,0.9856794752139363
62,0.7832278481012658,0.7758270920291,0.7832278481012658,0.7669552898297859,0.9939430946199184
63,0.7816455696202531,0.7678951818002858,0.7816455696202531,0.7653470269969515,0.9932540192323257
64,0.7784810126582279,0.767787682482398,0.7784810126582279,0.763452600234993,1.0088097954611766
65,0.7792721518987342,0.7639966550107109,0.7792721518987342,0.7636812462380961,1.0000654193124707
66,0.7856012658227848,0.7741554498092805,0.7856012658227848,0.7684575735274035,0.981966687379126
67,0.7792721518987342,0.7616992591335762,0.7792721518987342,0.7634203200875604,0.8847840652516724
68,0.7824367088607594,0.7667958276959677,0.7824367088607594,0.7649608344792721,0.8835443463559182
69,0.7792721518987342,0.7697345162939111,0.7792721518987342,0.7629116889643197,1.0040677446816333
70,0.7800632911392406,0.7621593707639251,0.7800632911392406,0.7633556130068377,0.9852649849306725
71,0.7800632911392406,0.7616071342554663,0.7800632911392406,0.7638297747175941,0.9797398717845447
72,0.7840189873417721,0.7741418346235327,0.7840189873417721,0.7682947292011417,0.9765050534736622
73,0.7848101265822784,0.7739717779252696,0.7848101265822784,0.769996525119136,0.9754436134414532
74,0.7808544303797469,0.7650420710181141,0.7808544303797469,0.7650141784981095,1.0000337102563228
75,0.7816455696202531,0.7713706398093012,0.7816455696202531,0.7655813912053012,0.9935924904802786
76,0.7832278481012658,0.7667602804652126,0.7832278481012658,0.767644018171745,0.990262483872584
