K,Accuracy,Precision,Recall,F1-score,Custom Metric
1,0.5324367088607594,0.5428267919343608,0.5324367088607594,0.5313327610223515,1.873967464552455
2,0.5308544303797469,0.5409296585523266,0.5308544303797469,0.5294170518938155,1.8755497430334678
3,0.555379746835443,0.5655939628964582,0.555379746835443,0.5515074861443718,1.7918123368228787
4,0.5593354430379747,0.5667803389009674,0.5593354430379747,0.5519334950426728,1.7887523785919148
5,0.5609177215189873,0.5718419469801543,0.5609177215189873,0.5541589037396871,1.8171649097318987
6,0.5814873417721519,0.607047127515068,0.5814873417721519,0.5726447699171796,1.7380904626478653
7,0.5799050632911392,0.6085909062638774,0.5799050632911392,0.5711729201896752,1.7673507650100433
8,0.5767405063291139,0.604897036872991,0.5767405063291139,0.5659549446270711,1.7518561630648117
9,0.5775316455696202,0.6056822610471009,0.5775316455696202,0.5659471698807815,1.8366931840640885
10,0.571993670886076,0.5968130063125191,0.571993670886076,0.5587817972911541,1.8543195486048711
11,0.5751582278481012,0.6029556257121977,0.5751582278481012,0.5622273266171663,1.7778678683147484
12,0.5751582278481012,0.5976139114050713,0.5751582278481012,0.559588757778494,1.879561507911989
13,0.569620253164557,0.594523259801752,0.569620253164557,0.5534456555092739,1.8671228154481516
14,0.5838607594936709,0.6100302579652485,0.5838607594936709,0.5654043873233281,1.8512642102281438
15,0.5878164556962026,0.6169212677226135,0.5878164556962026,0.5692295579777282,1.8238851744005937
16,0.5893987341772152,0.6175004837352311,0.5893987341772152,0.5707137847129641,1.7926772351398048
17,0.5893987341772152,0.615408233369471,0.5893987341772152,0.5687284156026731,1.7624773538429077
18,0.5893987341772152,0.6154152390942487,0.5893987341772152,0.5693847441270721,1.7970724879504947
19,0.5862341772151899,0.6161612474543895,0.5862341772151899,0.5668358098107561,1.816041993895684
20,0.5870253164556962,0.618232955069031,0.5870253164556962,0.5663593791043311,1.8015758347115127
21,0.5767405063291139,0.6082164642938507,0.5767405063291139,0.5543554572641138,1.8402558545253251
22,0.5759493670886076,0.6090014579483206,0.5759493670886076,0.5530640162856678,1.8148486242162747
23,0.5806962025316456,0.613374305243882,0.5806962025316456,0.5580654879348439,1.8230074638234304
24,0.5783227848101266,0.6103449888321525,0.5783227848101266,0.556653347375012,1.862920480232522
25,0.5838607594936709,0.6130345105827381,0.5838607594936709,0.5623669229906016,1.8219801948687968
26,0.5846518987341772,0.6179687771689765,0.5846518987341772,0.563072792672506,1.8400614644667928
27,0.5822784810126582,0.6158072054725504,0.5822784810126582,0.5607205311584845,1.8659424405956733
28,0.5846518987341772,0.6185634827175809,0.5846518987341772,0.5632603771652797,1.8505181731792721
29,0.5862341772151899,0.6204837757700669,0.5862341772151899,0.5641256117427571,1.83234285110917
30,0.5893987341772152,0.6243501524899531,0.5893987341772152,0.5674040669347654,1.7422080901860886
31,0.5878164556962026,0.6242358923835425,0.5878164556962026,0.5652147708550712,1.7841557019841592
32,0.5870253164556962,0.6223358157062139,0.5870253164556962,0.5634686599379178,1.7724611333413174
33,0.5909810126582279,0.6262811637861578,0.5909810126582279,0.5679456883130085,1.777511915883392
34,0.5830696202531646,0.6206921953349732,0.5830696202531646,0.5597946657624479,1.800255679996409
35,0.5862341772151899,0.6168403733847098,0.5862341772151899,0.562546259631228,1.770380349546936
36,0.5901898734177216,0.6226919163614462,0.5901898734177216,0.5658287668037097,1.7533854560384454
37,0.5854430379746836,0.6181060081834244,0.5854430379746836,0.5610062080948703,1.7473034917341546
