Accuracy,Precision,Recall,F1-score,Custom Metric
0.5545886075949367,0.56630240589263,0.5545886075949367,0.552380320935203,2.303627532599298
0.5395569620253164,0.5574441685622108,0.5395569620253164,0.5391612328455812,1.9358930285269265
0.5229430379746836,0.5327666522395028,0.5229430379746836,0.521151484627321,2.6963697840501832
0.5545886075949367,0.5690348797009271,0.5545886075949367,0.5533899080628484,1.783846378917772
0.5466772151898734,0.5528257738416349,0.5466772151898734,0.5459061028967176,2.496121577588671
0.5371835443037974,0.553645454536533,0.5371835443037974,0.53929016161475,2.4091323573369294
0.5387658227848101,0.5447430667287565,0.5387658227848101,0.5365291267805509,2.131025084018334
0.5490506329113924,0.5642851451261949,0.5490506329113924,0.5481077238424175,2.3592215668857115
0.5474683544303798,0.5687701131416906,0.5474683544303798,0.5475737180650991,1.855325977681806
0.5498417721518988,0.5713817314433021,0.5498417721518988,0.5449274163408989,2.285749130722791
0.5474683544303798,0.5589671571143278,0.5474683544303798,0.5474032484941748,2.3321308561430767
