N,Accuracy,Precision,Recall,F1-score,Custom Metric
1,0.7768987341772152,0.7750629061087786,0.7768987341772152,0.7753534223039625,1.1053819241145595
2,0.7800632911392406,0.7845822424203367,0.7800632911392406,0.7746758382322831,0.6575243617702384
3,0.803006329113924,0.8011448443120962,0.803006329113924,0.7996261133671481,0.7051334518840663
4,0.8140822784810127,0.8105961504391507,0.8140822784810127,0.8093257433672383,0.6201823903568149
5,0.8425632911392406,0.8395404982949987,0.8425632911392406,0.8389594746519349,0.7921384073557597
6,0.8504746835443038,0.8490515523087753,0.8504746835443038,0.8462851781117547,0.5754642991385547
7,0.8488924050632911,0.8459246146260064,0.8488924050632911,0.8448498437777476,0.5918018604421171
8,0.8441455696202531,0.840382107623065,0.8441455696202531,0.8387676522158053,0.5824107422987778
9,0.8568037974683544,0.8563591319803758,0.8568037974683544,0.8520493481078506,0.5634121638502434
10,0.8417721518987342,0.8392798597251141,0.8417721518987342,0.8378312003279189,0.5778699009269412
11,0.8496835443037974,0.8453054114514802,0.8496835443037974,0.8452601897579529,0.5864386417191386
12,0.8568037974683544,0.8539837011665694,0.8568037974683544,0.8511284319134597,0.5650952177204113
13,0.8615506329113924,0.8570864245312554,0.8615506329113924,0.8567404296664201,0.5518272313363222
14,0.8544303797468354,0.8532775629135574,0.8544303797468354,0.8504060881309562,0.5631953370204563
15,0.8662974683544303,0.8651864391969846,0.8662974683544303,0.8625413675342662,0.5474427451639786
16,0.8520569620253164,0.8480579304805486,0.8520569620253164,0.8466875524904871,0.584634397496639
17,0.8647151898734177,0.8639019204999402,0.8647151898734177,0.8597405254557371,0.5588398414333281
18,0.8647151898734177,0.864281195439045,0.8647151898734177,0.8611962923170725,0.5614662984275226
19,0.8710443037974683,0.8672572081037683,0.8710443037974683,0.8674241446666819,0.5457976275387202
20,0.872626582278481,0.8713758028086658,0.872626582278481,0.8682106128124979,0.5310551751704478
21,0.8647151898734177,0.8611197304913596,0.8647151898734177,0.8603519253182795,0.5698122469281313
22,0.8718354430379747,0.8695836138791633,0.8718354430379747,0.8669588022850298,0.5500553776454128
23,0.8734177215189873,0.8710090230986959,0.8734177215189873,0.8682283332436237,0.5320250888429894
24,0.8623417721518988,0.859138614251569,0.8623417721518988,0.8581939056129978,0.5451697211202378
25,0.8710443037974683,0.8689305076539797,0.8710443037974683,0.8669669644008856,0.5476183815797869
26,0.8694620253164557,0.8653714324746361,0.8694620253164557,0.8650182983873731,0.5453705471780343
27,0.867879746835443,0.8657504507321926,0.867879746835443,0.8632464968603645,0.5551097966215252
28,0.8639240506329114,0.8619035030386198,0.8639240506329114,0.8590075827362212,0.561025390578526
29,0.8544303797468354,0.8521733176591673,0.8544303797468354,0.8498889034396448,0.5789988195991752
30,0.8734177215189873,0.8711778274591915,0.8734177215189873,0.8687744773730439,0.5435477950814114
31,0.8647151898734177,0.8629787410314871,0.8647151898734177,0.8604842407274876,0.5559622459968824
32,0.8710443037974683,0.8685620508158716,0.8710443037974683,0.8662246886920892,0.5438754956845547
33,0.8694620253164557,0.8673861817168712,0.8694620253164557,0.8635999007229621,0.5400889031650199
34,0.8718354430379747,0.8686545380277467,0.8718354430379747,0.8667257085962159,0.5397285152563354
35,0.8813291139240507,0.8793538020184936,0.8813291139240507,0.8769595202903137,0.5268755026767307
36,0.875,0.8717202248329992,0.875,0.8696281778562719,0.5327389071033592
37,0.8631329113924051,0.8601252494440901,0.8631329113924051,0.8580866759405813,0.5560986549635784
38,0.8670886075949367,0.8636906951855229,0.8670886075949367,0.8619094295832781,0.5398052039424684
39,0.870253164556962,0.8681859964547234,0.870253164556962,0.8659728852570194,0.5372052111367205
40,0.870253164556962,0.8686170962312211,0.870253164556962,0.8659196424053346,0.5492343315016612
41,0.8631329113924051,0.8597030066031933,0.8631329113924051,0.8590413881474971,0.5708956741479547
42,0.877373417721519,0.8752863857745921,0.877373417721519,0.8731295850055292,0.5410459931350757
43,0.870253164556962,0.8676052149029104,0.870253164556962,0.8656778539116429,0.5577860406237611
44,0.8734177215189873,0.8709407228022616,0.8734177215189873,0.8687545613536313,0.5239728653810674
45,0.8757911392405063,0.8737297974700508,0.8757911392405063,0.8712616401462835,0.536410340068453
46,0.8757911392405063,0.8751413316191353,0.8757911392405063,0.8728037624343913,0.532752649739389
47,0.870253164556962,0.8676206812715451,0.870253164556962,0.8651153304096099,0.5470586328816891
48,0.8718354430379747,0.8700257599448247,0.8718354430379747,0.8673097046935083,0.5302279889071265
49,0.8837025316455697,0.882423015659015,0.8837025316455697,0.8791581594065697,0.5129148135865595
50,0.8631329113924051,0.8612286788825536,0.8631329113924051,0.858212993363085,0.5599058915794736
51,0.872626582278481,0.8707102352010535,0.872626582278481,0.8685174640825388,0.5449119194204435
52,0.865506329113924,0.8631344590715796,0.865506329113924,0.8609912315124192,0.5647893038037248
53,0.870253164556962,0.868193114779362,0.870253164556962,0.8657140587866528,0.5519918182672121
54,0.8662974683544303,0.8643752249836111,0.8662974683544303,0.8611187847104328,0.5474590307296392
55,0.872626582278481,0.8707366735577846,0.872626582278481,0.868488500211596,0.5441261240146184
56,0.870253164556962,0.8683421748751747,0.870253164556962,0.8662721481327187,0.5584994366587117
57,0.8765822784810127,0.8741768337628432,0.8765822784810127,0.8723000733510752,0.541382239256727
58,0.879746835443038,0.8785794279902274,0.879746835443038,0.8763697229280183,0.5391676755170596
59,0.8734177215189873,0.8708900751647287,0.8734177215189873,0.8685252560775532,0.5419409609425944
60,0.8734177215189873,0.8719697833385462,0.8734177215189873,0.8694218951318934,0.5465321295465806
61,0.8718354430379747,0.8693854132251274,0.8718354430379747,0.86711405996397,0.5444673185467345
62,0.8765822784810127,0.874174804749324,0.8765822784810127,0.8715707290051788,0.5313301469847466
63,0.8734177215189873,0.8712286882203975,0.8734177215189873,0.8687021008049228,0.5309172054604595
64,0.8734177215189873,0.8711581215955507,0.8734177215189873,0.8688045739281505,0.5351577289270478
65,0.8789556962025317,0.8763550504330543,0.8789556962025317,0.8740940124674448,0.5331948876762648
66,0.8765822784810127,0.8747794422027763,0.8765822784810127,0.872413703489768,0.544268002168408
67,0.8734177215189873,0.871505022944587,0.8734177215189873,0.8685657405230252,0.5466078745074667
68,0.872626582278481,0.8702242241493211,0.872626582278481,0.8679694775783783,0.5432358498999944
69,0.8742088607594937,0.8709522835178837,0.8742088607594937,0.8684672037515724,0.5389520836346351
70,0.8765822784810127,0.8747559115164159,0.8765822784810127,0.8724211325761746,0.5526382073705192
71,0.8694620253164557,0.8673501243200553,0.8694620253164557,0.8649747372106508,0.5490670759074865
72,0.8765822784810127,0.8742977177713104,0.8765822784810127,0.8720317229881464,0.5414096271386737
73,0.872626582278481,0.87077417598633,0.872626582278481,0.8684892034347954,0.539824314321512
74,0.877373417721519,0.8752925413559745,0.877373417721519,0.8723486880043655,0.529361019057406
75,0.8734177215189873,0.8706150796049515,0.8734177215189873,0.8685022752686912,0.5518185495557577
76,0.872626582278481,0.870450442818106,0.872626582278481,0.8682452293020759,0.5536868928989929
77,0.8710443037974683,0.8684443442215944,0.8710443037974683,0.8664667251524747,0.5349446725634945
78,0.872626582278481,0.8701624708248183,0.872626582278481,0.8680412984333804,0.5457082585894462
79,0.877373417721519,0.8758460765402302,0.877373417721519,0.8735479767442946,0.5401394611867558
80,0.8829113924050633,0.8814157642438826,0.8829113924050633,0.8786551641068638,0.5291270901637738
81,0.8694620253164557,0.8671840091103953,0.8694620253164557,0.8651477921994815,0.544717533006027
82,0.8662974683544303,0.8639172940827523,0.8662974683544303,0.8614626913152932,0.5571568068930856
83,0.8718354430379747,0.8696935576802778,0.8718354430379747,0.8678203863980395,0.5580533645666245
84,0.879746835443038,0.8768353296465784,0.879746835443038,0.8749272389392473,0.5198976677725172
85,0.8718354430379747,0.8692239899172324,0.8718354430379747,0.8672319062105774,0.5540263694017018
86,0.8718354430379747,0.8697818405418064,0.8718354430379747,0.8675494300512754,0.5508138460779508
87,0.8789556962025317,0.8772940747751896,0.8789556962025317,0.8749352285206181,0.5388009596383735
88,0.8757911392405063,0.8729611991714835,0.8757911392405063,0.8710380182821496,0.5454234895832464
89,0.8805379746835443,0.8788478726106043,0.8805379746835443,0.876190591720222,0.5209600959370205
90,0.8757911392405063,0.8737237903517899,0.8757911392405063,0.8711752218558305,0.5281211294684174
91,0.8765822784810127,0.8746249116956584,0.8765822784810127,0.8727523250330287,0.5452146681654133
92,0.8647151898734177,0.8621549460451837,0.8647151898734177,0.8600733084415334,0.5567007220651256
93,0.8789556962025317,0.8773869461203775,0.8789556962025317,0.8750384390094923,0.5276011550424883
94,0.875,0.872531617631174,0.875,0.8706230981101357,0.5375549705172699
95,0.8757911392405063,0.8729195036550614,0.8757911392405063,0.8709864632185432,0.5446930964627044
96,0.8718354430379747,0.8688703722055745,0.8718354430379747,0.8659751398911703,0.5461534255947595
97,0.875,0.8729960132705622,0.875,0.8708968237971422,0.5463898513687899
98,0.8757911392405063,0.8736150577177493,0.8757911392405063,0.8716898123849458,0.5481002570129142
99,0.870253164556962,0.8676382366956648,0.870253164556962,0.8653984161355261,0.5500081180436617
