N,Accuracy,Precision,Recall,F1-score,Custom Metric
1,0.629746835443038,0.6380785630172358,0.629746835443038,0.6314710730849946,1.2355994022286374
2,0.634493670886076,0.6361342742179242,0.634493670886076,0.6256330265518242,1.34622441595836
3,0.7088607594936709,0.7027571025126105,0.7088607594936709,0.6999858019246079,0.931923078028941
4,0.7191455696202531,0.7045180022480542,0.7191455696202531,0.7084826625205898,0.9615328720586425
5,0.754746835443038,0.7456580549759946,0.754746835443038,0.7443991128242192,0.8706123745846632
6,0.7587025316455697,0.7473253140453735,0.7587025316455697,0.7476362706742619,0.7469312190333783
7,0.7642405063291139,0.7495521744965378,0.7642405063291139,0.7505682072664351,0.7923588898565901
8,0.7768987341772152,0.7677844595448048,0.7768987341772152,0.763520754617413,0.7517589576155123
9,0.7468354430379747,0.7320133651396742,0.7468354430379747,0.7321009278975945,0.8179802185231756
10,0.7792721518987342,0.7698471578897982,0.7792721518987342,0.7659360371054937,0.7529140209243311
11,0.7950949367088608,0.7835791524069133,0.7950949367088608,0.7790808888590103,0.7388673526008521
12,0.7966772151898734,0.7831985775729047,0.7966772151898734,0.781094728740643,0.7126523357681178
13,0.7713607594936709,0.7632622099217977,0.7713607594936709,0.7582299695535877,0.782523340324514
14,0.7887658227848101,0.7856458170061873,0.7887658227848101,0.77452305687588,0.7242652413527114
15,0.7895569620253164,0.7869719155004108,0.7895569620253164,0.7775455743951324,0.744597905452354
16,0.7856012658227848,0.7683760314232008,0.7856012658227848,0.7700890086065355,0.7370875031172393
17,0.7958860759493671,0.7821897838002323,0.7958860759493671,0.7798272350930017,0.7106120043716319
18,0.7958860759493671,0.7854158335921663,0.7958860759493671,0.780263279093905,0.7358908446829407
19,0.7935126582278481,0.7876508356450133,0.7935126582278481,0.7764917779056854,0.7148954011773069
20,0.7871835443037974,0.7710589530427875,0.7871835443037974,0.7710985882510928,0.7589259406708303
21,0.8061708860759493,0.7946484277745921,0.8061708860759493,0.7916332486254126,0.6996871716148261
22,0.8109177215189873,0.7948902254028412,0.8109177215189873,0.7949880593383687,0.7001356437870669
23,0.8037974683544303,0.798416652517971,0.8037974683544303,0.7891778350381674,0.7316904533581321
24,0.8037974683544303,0.7927118935894657,0.8037974683544303,0.7896537831164329,0.7116594905183127
25,0.8006329113924051,0.784979134337307,0.8006329113924051,0.7833640850410796,0.714305670711958
26,0.7998417721518988,0.7889379694482522,0.7998417721518988,0.7817200415736972,0.7138023610586584
27,0.8014240506329114,0.7829448282474186,0.8014240506329114,0.7844798110210138,0.7196539441729699
28,0.8014240506329114,0.7880722960808401,0.8014240506329114,0.7835254508569861,0.7260537347108792
29,0.8061708860759493,0.796209457784807,0.8061708860759493,0.790013021676204,0.7038463438833311
30,0.8006329113924051,0.7932604871646212,0.8006329113924051,0.7838578793507688,0.7484734938482807
31,0.8045886075949367,0.7959423437449796,0.8045886075949367,0.7902461898938895,0.6864689113850945
32,0.803006329113924,0.7910384897485955,0.803006329113924,0.7865058581447801,0.7335293621545349
33,0.803006329113924,0.791168660136927,0.803006329113924,0.7860243378189423,0.7097071697157828
34,0.8022151898734177,0.7954606168874675,0.8022151898734177,0.7868569051897402,0.6994136767013672
35,0.7950949367088608,0.7862708557547788,0.7950949367088608,0.7770183496706455,0.7312415842053318
36,0.810126582278481,0.798349205739244,0.810126582278481,0.7938096688124453,0.7010411642610563
37,0.8014240506329114,0.7933968961064595,0.8014240506329114,0.7858101658786153,0.7143323687294955
38,0.8022151898734177,0.7836599720798328,0.8022151898734177,0.7853229216118897,0.7289163141445947
39,0.805379746835443,0.7926690763085613,0.805379746835443,0.7888767579265104,0.6936218721502947
40,0.8069620253164557,0.7989023009623994,0.8069620253164557,0.7891216153510393,0.7158421245152599
41,0.8125,0.8066368739789029,0.8125,0.7962906441054124,0.6855749972506626
42,0.8069620253164557,0.7993457489551666,0.8069620253164557,0.791538075736613,0.7155530085243664
43,0.803006329113924,0.7936395226148929,0.803006329113924,0.7866967214448399,0.7099651782328943
44,0.8109177215189873,0.8017362413114015,0.8109177215189873,0.7936767398809927,0.6972189447463535
45,0.8061708860759493,0.7971048850058728,0.8061708860759493,0.7900130639460518,0.6924118325464496
46,0.807753164556962,0.7943555359403225,0.807753164556962,0.7920486140093166,0.7043476963282915
47,0.7990506329113924,0.7835420676332369,0.7990506329113924,0.7818581337623165,0.7432694568388696
48,0.817246835443038,0.8104933064856672,0.817246835443038,0.8014351150364373,0.681263498618356
49,0.8069620253164557,0.7884721336663456,0.8069620253164557,0.7896820727040865,0.6891772697752176
50,0.8109177215189873,0.7980318072009146,0.8109177215189873,0.792935445382859,0.7038956668208498
