Accuracy,Precision,Recall,F1-score,Custom Metric
0.8259493670886076,0.8325912568169229,0.8259493670886076,0.8147694266364479,0.7876306471818915
0.8306962025316456,0.8364170852134842,0.8306962025316456,0.8214907962306799,0.7791021979136081
0.8354430379746836,0.8410068924293532,0.8354430379746836,0.8266262868708008,0.7716667978838073
0.8401898734177216,0.8452259082422227,0.8401898734177216,0.8314323376185396,0.759317162910609
0.8425632911392406,0.8478405198278771,0.8425632911392406,0.8340948050414022,0.7561835964822472
0.8417721518987342,0.8468360743162311,0.8417721518987342,0.8341472835981905,0.6061627066465173
0.8441455696202531,0.8490862318057004,0.8441455696202531,0.8365956367291376,0.5996078148064967
0.8401898734177216,0.8447872166090583,0.8401898734177216,0.8326721517189231,0.6056602527336113
0.8425632911392406,0.8472978024373958,0.8425632911392406,0.8354828073406528,0.6008160235994201
0.8441455696202531,0.8490004795869183,0.8441455696202531,0.8372137028146074,0.5975230824125781
0.8449367088607594,0.8494184683182745,0.8449367088607594,0.8383306771586297,0.5964042425689284
