Accuracy,Precision,Recall,F1-score,Custom Metric
0.7072784810126582,0.7079694864849748,0.7072784810126582,0.703622354091546,1.2411820891800185
0.7017405063291139,0.6987872367768597,0.7017405063291139,0.6989057043495859,1.0581532757461216
0.7009493670886076,0.7060956772400201,0.7009493670886076,0.6991757755741675,1.2355309255299085
0.7151898734177216,0.7170654205386279,0.7151898734177216,0.7130009470137392,1.0149206083239821
0.6954113924050633,0.7018798744434688,0.6954113924050633,0.6966332319458828,1.4517439336965703
0.7080696202531646,0.7136568760268737,0.7080696202531646,0.7095751595130302,1.2550577111142998
0.7262658227848101,0.7218420358644745,0.7262658227848101,0.721181330793008,0.8160608289503003
0.6993670886075949,0.7024320223609409,0.6993670886075949,0.697265131291926,1.241037993307225
0.7009493670886076,0.7015126829440345,0.7009493670886076,0.6992555388166326,1.046708823291847
0.7183544303797469,0.7281977455658322,0.7183544303797469,0.7190336596030629,1.2002109064643856
0.7041139240506329,0.7080336995064275,0.7041139240506329,0.7017286798807436,1.0382430976375665
