K,Accuracy,Precision,Recall,F1-score,Custom Metric
1,0.6360759493670886,0.6435005429431899,0.6360759493670886,0.6359588455486278,1.5467235474055636
2,0.6376582278481012,0.6454415696351343,0.6376582278481012,0.6378001029652169,1.5379426775372154
3,0.6819620253164557,0.6832766585203016,0.6819620253164557,0.6773787689921905,1.4104599137092064
4,0.6890822784810127,0.6879954387859275,0.6890822784810127,0.6833744043546989,1.4056205356225921
5,0.694620253164557,0.6911650754304645,0.694620253164557,0.6858727538138522,1.3950226128740768
6,0.7001582278481012,0.6941165977072181,0.7001582278481012,0.6914634300192276,1.3980425696215737
7,0.7064873417721519,0.7035583026295518,0.7064873417721519,0.696292658116033,1.370292207742197
8,0.7167721518987342,0.7114800529623448,0.7167721518987342,0.7049330403826021,1.3537506002035182
9,0.7270569620253164,0.7242909994576765,0.7270569620253164,0.7140310157193752,1.3193778907610658
10,0.7294303797468354,0.7250353974761624,0.7294303797468354,0.7157307856217275,1.2984877518166988
11,0.7254746835443038,0.7178883935494997,0.7254746835443038,0.7099434135976576,1.2987794278336664
12,0.7318037974683544,0.7250779331159863,0.7318037974683544,0.7169007188333844,1.295287170268498
13,0.7262658227848101,0.7193083739398808,0.7262658227848101,0.7105102745807151,1.3239797422976827
14,0.7325949367088608,0.7266991783626358,0.7325949367088608,0.7163151187049688,1.3084492676002057
15,0.7270569620253164,0.7204007813580852,0.7270569620253164,0.7104394328191668,1.3401938435218221
16,0.7262658227848101,0.7197378635493595,0.7262658227848101,0.7098008254739108,1.3530074467712956
17,0.7262658227848101,0.7220044954711247,0.7262658227848101,0.7109318831357178,1.3599500081718086
18,0.7286392405063291,0.7230559946830366,0.7286392405063291,0.7126004221427976,1.3465680254866328
19,0.7286392405063291,0.7214967286530309,0.7286392405063291,0.7113076685835699,1.345341640726062
20,0.7246835443037974,0.7183154710608574,0.7246835443037974,0.7075799882222354,1.3584950884678666
21,0.7302215189873418,0.7266999165171092,0.7302215189873418,0.7121963795881909,1.3503615429318827
22,0.7278481012658228,0.7235157230573732,0.7278481012658228,0.7094315788748815,1.361830669587477
23,0.7318037974683544,0.7279153103877588,0.7318037974683544,0.7132078990388006,1.352072304741155
24,0.7294303797468354,0.7250899435051207,0.7294303797468354,0.710575497120552,1.346468853372248
25,0.7325949367088608,0.7428801829920755,0.7325949367088608,0.7130729428587232,1.345523659091958
26,0.7270569620253164,0.7345387409340596,0.7270569620253164,0.706774691016862,1.2011918678854552
27,0.7302215189873418,0.7402913835068831,0.7302215189873418,0.7097998149093794,1.3671847439355205
28,0.7333860759493671,0.7428086986710684,0.7333860759493671,0.7134071432875624,1.2032208651472227
29,0.7325949367088608,0.7421965747411142,0.7325949367088608,0.7121850169181868,1.3542616707638637
30,0.7349683544303798,0.7471781532831412,0.7349683544303798,0.7155404712282665,1.345383647473545
31,0.7381329113924051,0.7454559836168194,0.7381329113924051,0.717109457228374,1.3446579849184013
32,0.740506329113924,0.7490902126481438,0.740506329113924,0.7197182801603131,1.33581163836469
33,0.740506329113924,0.7530787456468395,0.740506329113924,0.7202146791285858,1.1766868667231074
34,0.7389240506329114,0.75313254038906,0.7389240506329114,0.7190302414725247,1.3461362021018015
35,0.7349683544303798,0.7490919668749529,0.7349683544303798,0.7147138083040243,1.1861102762603264
36,0.7341772151898734,0.7499885417283279,0.7341772151898734,0.7145287428519865,1.2078845777039868
37,0.7333860759493671,0.7446974716563409,0.7333860759493671,0.7126546687679367,1.204344746227891
38,0.7333860759493671,0.7454962570446789,0.7333860759493671,0.7118355270677316,1.2112503493855944
39,0.7341772151898734,0.7466261764890135,0.7341772151898734,0.713012202969809,1.1948250956934576
40,0.7302215189873418,0.7414106284735128,0.7302215189873418,0.7088727121670073,1.372460494701284
41,0.7341772151898734,0.7467535593260232,0.7341772151898734,0.7129673663550518,1.2029306568082174
42,0.7286392405063291,0.738360459291884,0.7286392405063291,0.7066600456190612,1.2128695235914675
43,0.7310126582278481,0.7406380389317425,0.7310126582278481,0.709313056347247,1.3654290139467231
44,0.7325949367088608,0.7411845074153252,0.7325949367088608,0.7100112117303536,1.364852621767868
45,0.7302215189873418,0.7412503622382064,0.7302215189873418,0.7084915011823351,1.3634332136633713
46,0.7286392405063291,0.7371784729681008,0.7286392405063291,0.7061831074869064,1.3701913323329524
47,0.7278481012658228,0.7376736599389874,0.7278481012658228,0.7054794339592493,1.2083466271675165
48,0.7278481012658228,0.738117813030929,0.7278481012658228,0.7056860724879276,1.208779301493028
49,0.7294303797468354,0.7403749659520809,0.7294303797468354,0.7069446430080351,1.199741663175046
50,0.7302215189873418,0.742202213626459,0.7302215189873418,0.7088907188448068,1.1906514097091176
51,0.7238924050632911,0.7360151237747603,0.7238924050632911,0.7018671822404806,1.2132693684864322
52,0.7231012658227848,0.7343246518010721,0.7231012658227848,0.7009960429423481,1.2088630951839543
53,0.7215189873417721,0.7324854604594067,0.7215189873417721,0.6991222378451282,1.2078330902682497
54,0.7223101265822784,0.7328212073037473,0.7223101265822784,0.7000811023002498,1.2043143711654376
55,0.7223101265822784,0.7328888101647483,0.7223101265822784,0.7001517988456192,1.1972891687679375
56,0.7231012658227848,0.7334632827830496,0.7231012658227848,0.7016023397352243,1.1974675989947918
57,0.7223101265822784,0.7323160284379936,0.7223101265822784,0.7006413658864409,1.1898338089309677
