K,Accuracy,Precision,Recall,F1-score,Custom Metric
1,0.5229430379746836,0.5390225215514042,0.5229430379746836,0.5258577737821167,2.1930107029210064
2,0.5213607594936709,0.5376471229857859,0.5213607594936709,0.5242012044387264,2.1945929814020193
3,0.553006329113924,0.5683453246282272,0.553006329113924,0.5530246267708229,2.072880976179795
4,0.5680379746835443,0.5778052165402378,0.5680379746835443,0.5639611348985044,2.020297324285699
5,0.5783227848101266,0.5854069921545927,0.5783227848101266,0.5725841945738123,1.9767408014678853
6,0.5830696202531646,0.601749319677806,0.5830696202531646,0.5764478141039696,1.9633414959076236
7,0.5854430379746836,0.6041574408145206,0.5854430379746836,0.5774343624561974,1.9687833583455838
8,0.5814873417721519,0.602886773617835,0.5814873417721519,0.5717051059350606,1.9478759148907843
9,0.5925632911392406,0.6110596368467648,0.5925632911392406,0.5839381758561177,1.8980587820570791
10,0.5917721518987342,0.6058353146327021,0.5917721518987342,0.5802592191144382,1.8846469772044914
11,0.5965189873417721,0.618262742392609,0.5965189873417721,0.5840900801722319,1.8714129856383637
12,0.5973101265822784,0.6171996481642779,0.5973101265822784,0.5841417294754788,1.8783922378069697
13,0.6091772151898734,0.6292684942919726,0.6091772151898734,0.5964960355642188,1.8014115763411782
14,0.6036392405063291,0.626618196097577,0.6036392405063291,0.5911396047324241,1.8278039166558269
15,0.6036392405063291,0.6237222480010207,0.6036392405063291,0.5873282668807243,1.8518261603658426
16,0.6028481012658228,0.6241250741032235,0.6028481012658228,0.5876088454579085,1.8704156580826508
17,0.6091772151898734,0.6315841098891033,0.6091772151898734,0.5929532645351213,1.8510379614542856
18,0.6020569620253164,0.6216494886919799,0.6020569620253164,0.5838260300817811,1.8596731626408372
19,0.6004746835443038,0.6174394932316206,0.6004746835443038,0.582872016250566,1.8839935493862456
20,0.6052215189873418,0.6239537431926807,0.6052215189873418,0.5878858228816823,1.8651867713654453
21,0.6020569620253164,0.6253400098882046,0.6020569620253164,0.5837091627661114,1.8746432323574296
22,0.5973101265822784,0.6211898608216574,0.5973101265822784,0.5792522271387854,1.8141389656088667
23,0.6036392405063291,0.6206930686438995,0.6036392405063291,0.584058797048881,1.9047982879850276
24,0.6052215189873418,0.6249074001947107,0.6052215189873418,0.5842924708847694,1.7697452985260518
25,0.6099683544303798,0.6246783326465821,0.6099683544303798,0.5895260932898075,1.8555195434007414
26,0.6068037974683544,0.624641841558943,0.6068037974683544,0.5841710142047689,1.8478301451302173
27,0.6115506329113924,0.6311357530326214,0.6115506329113924,0.5888268802618916,1.7265705636906061
28,0.6099683544303798,0.6292125848845638,0.6099683544303798,0.5873673863093517,1.714051186030172
29,0.6099683544303798,0.6285098264348468,0.6099683544303798,0.587339105360763,1.7944494719480633
30,0.6068037974683544,0.62568071361963,0.6068037974683544,0.5839780179736391,1.811439508829846
31,0.6028481012658228,0.6239030403864091,0.6028481012658228,0.5806729730024023,1.8581974992916668
32,0.6068037974683544,0.6262621696175791,0.6068037974683544,0.5825942662055253,1.8519604101754175
33,0.6028481012658228,0.6286688954899872,0.6028481012658228,0.5783644093808886,1.8511779391687233
34,0.6044303797468354,0.6292588379216101,0.6044303797468354,0.5798690365242202,1.7309340962954598
35,0.5965189873417721,0.6230494612339034,0.5965189873417721,0.572499077326048,1.748101054454672
36,0.5957278481012658,0.6252659601316488,0.5957278481012658,0.5716438038536578,1.7728892998137542
37,0.5933544303797469,0.6186004347419556,0.5933544303797469,0.5690617379015827,1.7589558191371573
38,0.5949367088607594,0.6202388187699993,0.5949367088607594,0.5698752507887469,1.7446135067945399
39,0.5957278481012658,0.6225776131479983,0.5957278481012658,0.5710202583797642,1.7464544703430058
40,0.5917721518987342,0.6205280954835546,0.5917721518987342,0.567261877888993,1.836098457457219
41,0.5925632911392406,0.6231304850687385,0.5925632911392406,0.5683595777261362,1.7404287139650596
42,0.5925632911392406,0.6246804387621572,0.5925632911392406,0.5683362278043291,1.7311718502571196
43,0.5965189873417721,0.6271848226005257,0.5965189873417721,0.5718202934104982,1.8314664743792526
44,0.5965189873417721,0.6268025558677104,0.5965189873417721,0.5713385663348686,1.8197810732469477
45,0.5925632911392406,0.6255514222728287,0.5925632911392406,0.5686534889208809,1.8300327690745997
46,0.5909810126582279,0.6215936442620894,0.5909810126582279,0.5661282529521113,1.8369366658735622
47,0.5870253164556962,0.619321638572738,0.5870253164556962,0.5629329585791544,1.764931256987274
48,0.5901898734177216,0.6245697092878693,0.5901898734177216,0.5649332083573022,1.8365650041548072
49,0.5838607594936709,0.6171662300343934,0.5838607594936709,0.5589234030261812,1.7674917375842951
50,0.5870253164556962,0.6213540663487369,0.5870253164556962,0.5617481094456243,1.7441869105748637
51,0.5878164556962026,0.6237797097207349,0.5878164556962026,0.5624753697806376,1.7640164788324906
52,0.5846518987341772,0.6197057114695821,0.5846518987341772,0.5599956003337933,1.78505440022298
53,0.5846518987341772,0.6124694870341796,0.5846518987341772,0.5586686772587458,1.7849528696778934
54,0.5862341772151899,0.6180194080718758,0.5862341772151899,0.5606172922458187,1.7684914126273903
55,0.5862341772151899,0.6146974234372455,0.5862341772151899,0.5615045368593611,1.758243752161492
56,0.5893987341772152,0.618329409854859,0.5893987341772152,0.5645952870216718,1.7451624954128906
57,0.5862341772151899,0.614760829333302,0.5862341772151899,0.5619271313199699,1.7432861027323763
58,0.5878164556962026,0.6177576510497604,0.5878164556962026,0.5641878381913917,1.7377966927719797
59,0.5933544303797469,0.6229903046891127,0.5933544303797469,0.5689509846800024,1.731034277200973
60,0.5893987341772152,0.621725836767073,0.5893987341772152,0.5659837582930773,1.7165795219933027
61,0.5925632911392406,0.6220428860489513,0.5925632911392406,0.5678650037448238,1.7382759257112668
62,0.5886075949367089,0.6209797111918736,0.5886075949367089,0.5647430928957805,1.751725645578527
63,0.5862341772151899,0.6182800652444652,0.5862341772151899,0.5620724920580447,1.7592731168638929
64,0.5862341772151899,0.6162450571471119,0.5862341772151899,0.5613973463090235,1.7389274333237759
65,0.5846518987341772,0.6179951111288544,0.5846518987341772,0.5599815968983972,1.7489046205623895
66,0.5886075949367089,0.6224132310175887,0.5886075949367089,0.5634417544122454,1.7318852190299874
67,0.5893987341772152,0.6244710196430812,0.5893987341772152,0.5643241365767186,1.7366767800247096
68,0.5870253164556962,0.6206087109062663,0.5870253164556962,0.5613646466834451,1.7388387353069783
69,0.5854430379746836,0.6194033203554145,0.5854430379746836,0.5608384874749184,1.7410088881128492
70,0.5862341772151899,0.620180760292749,0.5862341772151899,0.5606880323686986,1.7322098792913725
71,0.5854430379746836,0.6191206697993282,0.5854430379746836,0.5603693537521124,1.7270084476746363
72,0.5814873417721519,0.6157478090997909,0.5814873417721519,0.5569247659425953,1.8243895499099774
73,0.5822784810126582,0.615257882711165,0.5822784810126582,0.5571899874394993,1.8180170465933634
74,0.5838607594936709,0.6147985832742456,0.5838607594936709,0.5595991139045344,1.7406551061697633
75,0.5814873417721519,0.6136631383049919,0.5814873417721519,0.5574520448226347,1.8225188758252873
76,0.5822784810126582,0.612359950125,0.5822784810126582,0.5576422369417008,1.7236459271327704
77,0.5830696202531646,0.6154101156900215,0.5830696202531646,0.5591999218616915,1.7996061779231443
78,0.5830696202531646,0.6130490240131562,0.5830696202531646,0.5592939424033837,1.8087270221926233
79,0.5791139240506329,0.6079000262987544,0.5791139240506329,0.5541863202326902,1.8047540429726603
80,0.5814873417721519,0.6115753482425804,0.5814873417721519,0.5571437527307848,1.7947550327109199
81,0.5830696202531646,0.6130477010092399,0.5830696202531646,0.5584138261751306,1.7938281554361937
82,0.5822784810126582,0.6145047827354833,0.5822784810126582,0.5574282578590197,1.7877092322736354
83,0.5846518987341772,0.6166655099573398,0.5846518987341772,0.5601660217205647,1.7837380968704466
84,0.5814873417721519,0.6130134798348997,0.5814873417721519,0.5569762486912851,1.8104973791866021
85,0.5822784810126582,0.6158699689014727,0.5822784810126582,0.5581588693703178,1.8217381763252258
86,0.5814873417721519,0.6150764475126539,0.5814873417721519,0.55715875574802,1.8289692304620924
87,0.5846518987341772,0.618636849815615,0.5846518987341772,0.5603645778664155,1.820487003719438
