Accuracy,Precision,Recall,F1-score,Custom Metric
0.7658227848101266,0.7823009188653233,0.7658227848101266,0.7343556061953964,0.9048364756978731
0.7681962025316456,0.7558820414786963,0.7681962025316456,0.738717145175788,0.89961791868808
0.7674050632911392,0.7547438848147616,0.7674050632911392,0.7384540286394714,0.9021970802530253
0.7674050632911392,0.755081463726777,0.7674050632911392,0.7394287864730064,0.9002412764911586
0.7705696202531646,0.7575656473247901,0.7705696202531646,0.7421748629544299,0.705405982296481
0.7705696202531646,0.7630344373655539,0.7705696202531646,0.743535865804065,0.7033676189875083
0.7705696202531646,0.7636754868552794,0.7705696202531646,0.7448135497073498,0.7013292556785357
0.7705696202531646,0.7651901159843533,0.7705696202531646,0.7453320711202719,0.7016569562816789
0.7729430379746836,0.7671955665655293,0.7729430379746836,0.7483197158714257,0.6975728758543305
0.7737341772151899,0.7694968202608868,0.7737341772151899,0.751169832061502,0.6967817366138241
0.7761075949367089,0.7719382547862171,0.7761075949367089,0.7537976429759038,0.6940806182891619
