K,Accuracy,Precision,Recall,F1-score,Custom Metric
1,0.6139240506329114,0.6290005360458962,0.6139240506329114,0.6183190874612698,1.5152929955869623
2,0.6147151898734177,0.6281340898763915,0.6147151898734177,0.6186889763212534,1.514423518123677
3,0.622626582278481,0.6266884051391617,0.622626582278481,0.6217606978639351,1.452046078782323
4,0.6360759493670886,0.6401356680851655,0.6360759493670886,0.6339666603459654,1.4636087565875997
5,0.6416139240506329,0.6440445596182918,0.6416139240506329,0.6403514910795807,1.4336318461463058
6,0.6495253164556962,0.6519302547071673,0.6495253164556962,0.6476163948249474,1.4118777223683598
7,0.6511075949367089,0.6497190198917953,0.6511075949367089,0.647198906224046,1.384309485836203
8,0.6526898734177216,0.6496669874807911,0.6526898734177216,0.6476459800362829,1.3993473621735755
9,0.6495253164556962,0.6470765427404357,0.6495253164556962,0.644064150185148,1.2052054274323216
10,0.6503164556962026,0.6460284843693677,0.6503164556962026,0.6445536779823846,1.403933595029272
11,0.6518987341772152,0.652302139191863,0.6518987341772152,0.6452009832523451,1.1737727936626348
12,0.6495253164556962,0.6483969177093061,0.6495253164556962,0.6427442127602545,1.1806246289784534
13,0.6629746835443038,0.6585180950990648,0.6629746835443038,0.6546142306590798,1.1442959403947368
14,0.6661392405063291,0.6620027936940444,0.6661392405063291,0.6573806166917083,1.1156239933455214
15,0.6677215189873418,0.6640636146798442,0.6677215189873418,0.6597092797848344,1.323923141873391
16,0.6700949367088608,0.6684000478870595,0.6700949367088608,0.6614537709778916,1.1275606782569967
17,0.680379746835443,0.6820144287066903,0.680379746835443,0.6710073238342585,1.0961614528300334
18,0.680379746835443,0.6825835689946129,0.680379746835443,0.6705208697457434,1.09016703341175
19,0.6811708860759493,0.6846830334981997,0.6811708860759493,0.67159232708256,1.1067036342604863
20,0.6811708860759493,0.6853579750583962,0.6811708860759493,0.6717793480010448,1.1103525682712132
21,0.6811708860759493,0.6847471564850552,0.6811708860759493,0.6715797710195213,1.1090233750207286
22,0.6787974683544303,0.6812821052377953,0.6787974683544303,0.668486152976138,1.1169955647901533
23,0.6843354430379747,0.686419952879437,0.6843354430379747,0.673635433445741,1.1094118729882332
24,0.6772151898734177,0.6802046174336643,0.6772151898734177,0.6670346713913404,1.1163788836768658
25,0.680379746835443,0.6833776163983705,0.680379746835443,0.6697767980573391,1.1166233780450283
26,0.6756329113924051,0.6789215978564775,0.6756329113924051,0.6654759349161912,1.117964672517102
27,0.678006329113924,0.6830366641464937,0.678006329113924,0.6674603047682642,1.1297069152743684
28,0.6685126582278481,0.6687916546476862,0.6685126582278481,0.657402240408308,1.1446387703244711
29,0.6732594936708861,0.6727928236447843,0.6732594936708861,0.6613336073987748,1.1329810502175277
30,0.6693037974683544,0.6674493705563364,0.6693037974683544,0.6569096092050233,1.1397268800644498
31,0.6700949367088608,0.6685235468320471,0.6700949367088608,0.6572690030349749,1.135863869796724
32,0.6677215189873418,0.6658040166901577,0.6677215189873418,0.6554365817654074,1.1359422080195032
33,0.6661392405063291,0.6646876988282583,0.6661392405063291,0.6530662805684826,1.132326516933323
34,0.6700949367088608,0.6708388583512641,0.6700949367088608,0.6573406791675029,1.1270026185067776
35,0.6669303797468354,0.6665113434090802,0.6669303797468354,0.6534727748816853,1.120321807348544
