N,Accuracy,Precision,Recall,F1-score,Custom Metric
1,0.7674050632911392,0.7661579779813084,0.7674050632911392,0.765571185816556,1.1688362934173144
2,0.7753164556962026,0.7745612384104575,0.7753164556962026,0.767128387315604,0.8862368412943401
3,0.8061708860759493,0.7987031192148774,0.8061708860759493,0.8002257503685785,0.8899575256449035
4,0.8164556962025317,0.8082741985089202,0.8164556962025317,0.8107316692216325,0.8236716577607375
5,0.8370253164556962,0.8337013505438915,0.8370253164556962,0.8330368784082225,0.8172232511874912
6,0.8441455696202531,0.846773103832929,0.8441455696202531,0.8396029381382932,1.1558716581149977
7,0.8528481012658228,0.8496244583856135,0.8528481012658228,0.8495777077790362,1.1852432998245095
8,0.8473101265822784,0.8460661545545825,0.8473101265822784,0.8421211175260681,0.7631388162463341
9,0.8552215189873418,0.8532113151503263,0.8552215189873418,0.8512952012846826,0.7875678670641147
10,0.8465189873417721,0.8433991994912842,0.8465189873417721,0.8417610301873154,0.7783460125834345
11,0.8591772151898734,0.8564895005967224,0.8591772151898734,0.8557140095642772,0.7707433395785154
12,0.8481012658227848,0.8422969255491498,0.8481012658227848,0.8431052148405533,1.1590477108083477
13,0.8512658227848101,0.8487580020859645,0.8512658227848101,0.8476556513947057,0.7790115924125072
14,0.8615506329113924,0.860295575935994,0.8615506329113924,0.8571045355972743,0.7517358372085785
15,0.8481012658227848,0.8470437177181336,0.8481012658227848,0.8445069159600507,0.7959058147311764
16,0.8694620253164557,0.8686282721686295,0.8694620253164557,0.8661829362109318,0.7549152283146512
17,0.8639240506329114,0.8599644489365142,0.8639240506329114,0.8605578789895316,1.1588557678588078
18,0.8552215189873418,0.8512859466811579,0.8552215189873418,0.8508709929873176,0.7715326481111433
19,0.8583860759493671,0.8571316652096203,0.8583860759493671,0.8544949637269528,0.7751967272668341
20,0.865506329113924,0.8643681727926547,0.865506329113924,0.861639940711049,0.7603992466727478
21,0.8599683544303798,0.8592132084403368,0.8599683544303798,0.8563414800130654,0.7734454520086821
22,0.8631329113924051,0.8616447688813837,0.8631329113924051,0.8588328187344211,0.7424718023020164
23,0.8560126582278481,0.8539361794111598,0.8560126582278481,0.851962429893866,0.7790396512269302
24,0.8607594936708861,0.857221885993312,0.8607594936708861,0.8566986707348991,0.7608199188768817
25,0.867879746835443,0.8662645933295187,0.867879746835443,0.863284053036859,0.7334231332575394
26,0.870253164556962,0.8691674907477546,0.870253164556962,0.8667141718251906,0.7606824766600246
27,0.8623417721518988,0.8604538262286433,0.8623417721518988,0.8582971257087741,0.7579194841738929
28,0.867879746835443,0.865697482873431,0.867879746835443,0.8635649837793666,0.7531078428501449
29,0.865506329113924,0.8640499422873501,0.865506329113924,0.861940027005778,0.7431936066657927
30,0.8615506329113924,0.8600248457145168,0.8615506329113924,0.8579190618115489,0.7580214068610662
31,0.8647151898734177,0.8634748763086385,0.8647151898734177,0.860482447853107,0.757560793037086
